	Sz	hEndo	hPeric	hMgl	hOPC	hRgl2c	hRgl2b	hRgl2a	hRgl3	hRgl1	hProgM	hProgBP	hProgFPL	hProgFPM	hNProg	hNbM	hNbML1	hRN	hNbML5	hDA0	hDA1	hDA2	hNbGaba	hGaba	hSert	hOMTN
A1BG	0.4189	0.7444	0.9648	0.6748	1.0066	1.1346	1.083	1.0401	0.6485	0.9205	0.5139	0.5897	0.8831	0.6601	0.398	0.6182	0.5374	0.5259	0.5082	0.4878	1.6579	1.0811	0.6249	0.7447	0.8941	0.53
A1BG-AS1	0.3522	0.7717	1.4699	0.8272	0.7841	0.8677	1.326	0.5905	0.8055	0.7857	1.5354	0.6124	0.7718	0.6285	1.2308	1.231	0.6989	0.7131	0.6382	0.6468	1.8656	0.7454	0.7301	1.4921	1.0049	0.7185
A1CF	0.3317	0.5596	0.7577	0.7205	1.2617	0.6584	0.4926	0.7336	1.0971	1.1117	1.6531	0.6306	0.6016	0.4582	0.7107	0.44	1.0189	0.5194	1.1594	0.482	0.6328	1.1819	0.6112	1.6695	0.8191	0.5257
A2M	0.0062	6.9876	2.9512	4.7136	0.194	0.0582	0.1347	0.1278	0.0675	0.0401	0.0921	0.0179	0.0355	0.0225	0.0379	0.0204	0.0319	0.0416	0.0741	0.0729	0.0939	0.0837	0.0608	0.0997	0.2336	0.0209
A2M-AS1	0.1799	0.3234	0.473	0.4501	0.8108	0.4371	0.2771	0.7265	0.5615	0.3776	0.4905	0.496	0.9136	0.4331	0.2323	0.4295	0.9374	0.3341	0.5656	0.6025	0.7375	0.3472	0.7555	1.6908	0.5402	0.2825
A2ML1	0.385	1.0559	0.8588	0.7513	0.7396	0.709	0.5449	0.9591	1.0118	1.3519	0.586	0.4953	0.6998	0.5332	0.7803	0.799	0.5727	0.6241	1.1688	1.1445	0.6983	0.6112	0.6755	1.8608	0.9078	1.2902
A4GALT	0.387	10.6708	1.0124	0.8337	0.7669	0.8384	0.6724	0.5969	0.7969	0.7896	0.7425	1.0915	0.8271	0.6333	0.6021	0.6286	0.6972	0.7167	0.6579	0.6451	1.6082	0.7375	0.7988	1.6108	0.9255	0.7428
AAAS	0.388	0.2837	0.2303	0.2819	0.3087	0.2785	0.3291	0.3272	0.3024	0.2455	0.3689	0.269	0.4575	0.3483	0.2296	0.2486	0.2449	0.3388	0.2174	0.1592	0.3325	0.2105	0.27	0.208	0.3611	0.3158
AACS	0.1102	0.1599	0.0859	0.096	0.1008	0.0943	0.0995	0.132	0.1217	0.2713	0.176	0.1351	0.1691	0.1914	0.0891	0.1673	0.2078	0.1451	0.2303	0.1116	0.3156	0.1539	0.0923	0.1637	0.3103	0.1731
AACSP1_p1	0.473	0.8955	1.3572	0.9887	0.922	0.9858	0.7797	1.3885	2.1604	0.9692	0.8243	0.7742	1.0064	0.8385	1.6046	0.7514	0.866	0.8715	2.1481	0.8	0.9451	0.913	0.8487	0.8025	1.1401	0.8969
AADACP1_p1	0.3047	10.5192	1.9627	0.8018	0.8146	0.7811	0.6919	0.6462	0.8156	0.7464	0.6972	0.6145	0.8043	0.6172	1.362	0.6517	0.6802	0.7507	0.7379	0.6695	0.8249	0.7295	0.7536	0.6575	0.9267	0.7217
AADAT	0.1491	0.1094	0.1572	0.1905	0.3455	0.241	0.1104	0.1881	0.1474	0.1649	0.137	0.1163	0.2132	0.1107	0.0732	0.1841	0.236	0.0953	0.187	0.1496	0.3121	0.2192	0.2799	0.3329	0.2386	0.2004
AAED1	0.244	1.0693	0.8078	0.9925	0.7662	0.489	0.4696	0.8456	0.632	0.7003	0.3599	0.3929	0.9051	0.3396	0.2608	0.2914	0.3489	0.3761	0.9312	0.5344	1.1639	0.4081	0.4829	0.5658	0.6606	0.3357
AAGAB	0.1935	0.1628	0.1512	0.2014	0.1499	0.1508	0.1621	0.1556	0.3185	0.1605	0.3189	0.1148	0.4059	0.2243	0.1569	0.137	0.1899	0.1155	0.1237	0.0827	0.1731	0.1861	0.247	0.134	0.4603	0.2601
AAK1	1.0138	0.8315	0.9774	0.6794	0.6154	0.7277	0.5556	0.7182	0.946	0.5823	0.5774	0.4887	0.7247	0.4866	0.5271	0.7705	0.7185	0.6436	0.7243	0.4597	1.0013	0.7262	0.7657	0.6707	1.4928	1.1637
AAMDC	0.1703	0.5605	0.497	0.2049	0.2944	0.4355	0.4747	0.3045	0.3808	0.2909	0.2415	0.3606	0.2237	0.2692	0.1703	0.1098	0.1004	0.0997	0.0856	0.1349	0.1221	0.1354	0.1096	0.0774	0.2369	0.1561
AAMP	0.8185	0.6408	0.506	0.5506	0.7206	0.5859	0.4579	0.5959	0.7267	0.5486	0.6747	0.4427	0.644	0.5174	0.4134	0.4376	0.5594	0.3913	0.3866	0.3158	0.5061	0.3886	0.4162	0.3589	0.7296	0.5462
AAR2	0.1522	0.1146	0.131	0.1238	0.1204	0.1533	0.0954	0.1183	0.1488	0.1454	0.2213	0.0896	0.1866	0.1159	0.0879	0.2024	0.1306	0.1551	0.0823	0.113	0.2574	0.0967	0.173	0.121	0.2217	0.1163
