	Sz	mEndo	mPeric	mMgl	mEpend	mRgl3	mRgl2	mRgl1	mNProg	mNbM	mNbML2	mNbL2	mNbDA	mDA0	mDA1	mDA2	mNbML1	mNbML3	mNbL1	mNbML4	mRN	mGaba1b	mGaba1a	mGaba2	mSert	mOMTN	mNbML5
0610007N19Rik	0.0229	0.1317	0.5996	0.0987	0.3282	0.3192	0.4758	0.1882	0.2102	0.0288	0.0314	0.1368	0.0418	0.0662	0.0597	0.053	0.0335	0.2013	0.0636	0.1785	0.2472	0.1356	0.1082	0.1225	0.0544	0.0542	0.0825
0610007P14Rik	0.8532	0.5518	0.4505	0.6049	0.6236	0.9551	1.7623	1.1097	0.6668	0.3272	0.3362	0.447	0.3285	0.3709	0.6528	0.6158	0.627	1.1683	0.68	1.4273	1.1137	0.8199	1.0494	1.5711	0.9177	0.7742	0.3615
0610009B22Rik	1.3058	0.9347	0.7026	0.9224	1.1153	0.9294	0.7849	0.9393	0.6621	0.56	0.4582	0.6761	0.5619	0.5591	0.7762	0.7804	0.5957	1.7312	0.8246	1.0266	1.1321	0.7516	1.0407	1.1583	1.1783	1.1947	0.6571
0610009D07Rik	4.0972	2.4252	1.8053	2.6263	2.3964	2.277	2.9179	2.7728	2.6446	1.6369	1.7263	1.9515	1.5564	1.6647	2.2049	1.9294	1.9376	3.065	2.6269	3.0435	3.1224	2.5818	2.4972	3.5287	3.6606	3.6858	1.466
0610009O20Rik	0.1238	0.1507	0.1094	0.1799	0.1115	0.1265	0.1619	0.1618	0.1786	0.1252	0.1054	0.1798	0.1462	0.1258	0.1046	0.2976	0.1153	0.1861	0.1345	0.1315	0.2562	0.1346	0.1032	0.1483	0.2969	0.229	0.1707
0610010B08Rik_loc1	1.394	1.6056	1.1737	2.6129	1.4564	1.3409	1.6593	1.2828	1.2859	1.6625	1.3972	1.8312	0.9787	1.101	1.3845	1.3058	1.1621	1.5805	1.5241	1.6992	1.6922	1.1853	1.2267	2.0564	1.6475	2.0837	1.0424
0610010F05Rik	1.1601	0.705	0.5829	0.7768	0.8259	0.6885	0.6509	0.6743	0.5906	0.8146	0.8409	1.2171	0.6092	0.8509	0.8363	0.9909	0.6444	1.4577	1.2422	2.7398	2.2495	0.9616	1.3732	2.3497	1.8135	1.2129	1.1096
0610010K14Rik	1.295	1.7335	0.7253	1.7301	0.6808	0.7586	1.0639	0.9631	1.1561	0.5145	0.5142	0.6324	0.5937	0.6478	0.7101	0.6183	0.7181	1.3983	1.0187	1.3503	1.0034	0.9187	0.836	1.2452	0.9301	1.0849	0.4909
0610011F06Rik	0.6643	0.4467	0.3471	0.4666	0.5179	0.5389	0.4642	0.4006	0.4047	0.2944	0.3185	0.3838	0.346	0.3187	0.3903	0.5126	0.3982	0.6851	0.6488	0.5527	0.551	0.5908	0.3739	0.6432	0.7381	0.7011	0.3304
0610012G03Rik	0.5404	0.387	0.5233	0.4601	0.3777	0.3093	0.4646	0.526	0.2795	0.2162	0.2257	0.3333	0.2322	0.2697	0.3781	0.3599	0.4626	0.5391	0.6982	0.6236	0.608	0.4673	0.3498	0.8598	0.6285	0.6597	0.2051
0610030E20Rik	0.0703	0.1251	0.1554	0.1769	0.0879	0.1644	0.1203	0.1115	0.1071	0.0523	0.061	0.2838	0.0702	0.0935	0.1031	0.1051	0.0737	0.0809	0.0719	0.1549	0.1472	0.0514	0.0794	0.2122	0.1089	0.1548	0.1091
0610031J06Rik	0.2077	1.0394	0.3066	1.2159	0.352	0.5236	0.4249	0.3675	0.1207	0.1362	0.1409	0.125	0.1131	0.1025	0.1962	0.1464	0.1208	0.2132	0.3628	0.3425	0.2801	0.1658	0.1155	0.2267	0.3611	0.245	0.1429
0610037L13Rik	0.3596	0.6511	0.4072	0.2764	0.4801	0.2477	0.387	0.4528	0.3911	0.1503	0.1571	0.1986	0.159	0.1541	0.4027	0.2685	0.1962	0.2736	0.3106	0.4226	0.322	0.2523	0.3138	0.5448	0.3819	0.4303	0.165
